local-authority	registration-district
local-authority-eng:BDG	218
local-authority-eng:BNE	219
local-authority-eng:BNS	41
local-authority-eng:BAS	300
local-authority-eng:BDF	316
local-authority-eng:BEX	220
local-authority-eng:BIR	61
local-authority-eng:BBD	580
local-authority-eng:BPL	581
local-authority-wls:BGW	833
local-authority-eng:BOL	2
local-authority-eng:BMH	427
local-authority-eng:BRC	318
local-authority-eng:BRD	83
local-authority-eng:BEN	221
local-authority-wls:BGE	861
local-authority-eng:BNH	452
local-authority-eng:BST	301
local-authority-eng:BRY	222
local-authority-eng:BKM	328
local-authority-eng:BUR	3
local-authority-wls:CAY	863
local-authority-eng:CLD	86
local-authority-eng:CAM	339
local-authority-eng:CMD	250
local-authority-wls:CRF	890
local-authority-wls:CMN	822
local-authority-eng:CBF	317
local-authority-wls:CGN	823
local-authority-eng:CHE	342
local-authority-eng:CHW	345
local-authority-wls:CWY	846
local-authority-eng:CON	371
local-authority-eng:COV	63
local-authority-eng:CRY	225
local-authority-eng:CMA	387
local-authority-eng:DAL	436
local-authority-wls:DEN	805
local-authority-wls:DEN	811
local-authority-eng:DER	394
local-authority-eng:DBY	398
local-authority-eng:DEV	423
local-authority-eng:DNC	42
local-authority-eng:DOR	429
local-authority-eng:DUD	65
local-authority-eng:DUR	442
local-authority-eng:EAL	226
local-authority-eng:ERY	541
local-authority-eng:ESX	462
local-authority-eng:ENF	227
local-authority-eng:ESS	463
local-authority-wls:FLN	804
local-authority-eng:GAT	51
local-authority-eng:GLS	488
local-authority-eng:GRE	229
local-authority-wls:GWN	855
local-authority-eng:HCK	230
local-authority-eng:HAL	343
local-authority-eng:HMF	260
local-authority-eng:HAM	504
local-authority-eng:HRY	233
local-authority-eng:HRW	232
local-authority-eng:HPL	351
local-authority-eng:HAV	234
local-authority-eng:HEF	511
local-authority-eng:HRT	538
local-authority-eng:HIL	236
local-authority-eng:HNS	237
local-authority-wls:AGY	857
local-authority-eng:IOW	556
local-authority-eng:IOS	360
local-authority-eng:ISL	238
local-authority-eng:KEC	239
local-authority-eng:KEN	564
local-authority-eng:KTT	240
local-authority-eng:KHL	550
local-authority-eng:KIR	90
local-authority-eng:KWL	23
local-authority-eng:LBH	241
local-authority-eng:LAN	591
local-authority-eng:LDS	92
local-authority-eng:LCE	600
local-authority-eng:LEC	605
local-authority-eng:LEW	242
local-authority-eng:LIN	609
local-authority-eng:LIV	25
local-authority-eng:LND	243
local-authority-eng:LUT	315
local-authority-eng:MAN	6
local-authority-eng:MDW	561
local-authority-wls:MTY	860
local-authority-eng:MRT	244
local-authority-eng:MDB	348
local-authority-eng:MIK	326
local-authority-wls:MON	839
local-authority-wls:NTL	896
local-authority-eng:NET	53
local-authority-eng:NWM	257
local-authority-wls:NWP	836
local-authority-eng:NFK	642
local-authority-eng:NEL	548
local-authority-eng:NLN	554
local-authority-eng:NSM	307
local-authority-eng:NTY	54
local-authority-eng:NYK	650
local-authority-eng:NTH	674
local-authority-eng:NBL	681
local-authority-eng:NGM	689
local-authority-eng:NTT	692
local-authority-eng:OLD	7
local-authority-eng:OXF	695
local-authority-wls:PEM	819
local-authority-eng:PTE	335
local-authority-eng:PLY	416
local-authority-eng:POL	431
local-authority-eng:POR	497
local-authority-wls:POW	882
local-authority-eng:RDG	320
local-authority-eng:RDB	247
local-authority-eng:RCC	349
local-authority-wls:RCT	864
local-authority-eng:RIC	248
local-authority-eng:RCH	9
local-authority-eng:ROT	45
local-authority-eng:RUT	604
local-authority-eng:SLF	11
local-authority-eng:SAW	70
local-authority-eng:SFT	35
local-authority-eng:SHF	48
local-authority-eng:SHR	717
local-authority-eng:SLG	321
local-authority-eng:SOL	73
local-authority-eng:SOM	722
local-authority-eng:SGC	304
local-authority-eng:STY	57
local-authority-eng:STH	500
local-authority-eng:SOS	475
local-authority-eng:SWK	251
local-authority-eng:SHN	30
local-authority-eng:STS	738
local-authority-eng:SKP	13
local-authority-eng:STT	350
local-authority-eng:STE	737
local-authority-eng:SFK	748
local-authority-eng:SND	58
local-authority-eng:SRY	759
local-authority-eng:STN	254
local-authority-wls:SWA	897
local-authority-eng:SWD	796
local-authority-eng:TAM	14
local-authority-eng:TFW	716
local-authority-eng:THR	477
local-authority-eng:TOB	422
local-authority-wls:TOF	837
local-authority-eng:TWH	246
local-authority-eng:TRF	15
local-authority-wls:VGL	891
local-authority-eng:WKF	97
local-authority-eng:WLL	75
local-authority-eng:WFT	255
local-authority-eng:WND	256
local-authority-eng:WRT	346
local-authority-eng:WAR	776
local-authority-eng:WBK	319
local-authority-eng:WSX	785
local-authority-eng:WSM	258
local-authority-eng:WGN	18
local-authority-eng:WIL	799
local-authority-eng:WNM	322
local-authority-eng:WRL	37
local-authority-eng:WOK	323
local-authority-eng:WLV	77
local-authority-eng:WOR	527
local-authority-wls:WRX	813
local-authority-eng:YOR	661
